品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
奥得奥,ADA688,"","","",40.0,"","","",2.8,428.0,"","",false,false,true,false,false
奥得奥,ADA689,"","","",35.0,"","","",3.5,789.0,"",3,true,false,true,false,false
奥得奥,ADA704,"","","",3.0,"","","",0.762,249.0,"","",false,false,false,false,false
奥得奥,ADA707,"","","",5.0,"","","","",638.0,"","",false,false,false,false,false
奥得奥,ADA727,"","","",0.2,"","","","",88.0,"","",false,false,false,false,false
奥得奥,ADA767,"","","",10.0,"","","",0.98,764.0,"","",false,false,false,false,false
奥得奥,ADA768,"","","",10.0,"","","",0.998,998.0,"","",false,false,true,false,false
奥得奥,ADA802,"","","","","","","","",4598.0,"","",false,false,false,false,false
奥得奥,ADA803,"","","","","","","",10.0,3999.0,"",3,true,true,true,false,false
奥得奥,ADA981,"","","","","","","","",2398.0,"",3,true,false,true,false,false
奥得奥,KJG681,"","","",35.0,"","","","",1081.0,"","",false,false,false,false,false
奥郎格,AG800,400,true,34.0,186.0,33.0,67.0,中国,18.5,12645.1,"",3,true,true,true,true,true
奥郎格,AG850,400,true,48.0,194.0,33.0,68.0,中国,19.0,16588.0,"",3,true,true,true,true,true
奥郎格,AG900,400,true,49.0,192.0,33.0,68.0,中国,19.0,16645.1,"",3,true,true,true,true,true
奥郎格,AG950,340,true,34.0,177.0,33.0,67.0,中国,18.5,14500.0,"",3,true,true,true,true,true
布鲁雅尔,203,155,true,13.0,80.0,30.0,48.0,中国,11.0,3590.0,300,3,false,false,false,false,false
布鲁雅尔,270E,155,true,13.0,80.0,23.0,48.0,中国,11.0,5400.0,300,"",false,false,false,false,false
布鲁雅尔,303,264,false,20.0,80.0,30.0,55.0,中国,12.5,3834.0,300,3,false,false,false,false,false
布鲁雅尔,403;410B,240,true,20.0,70.0,32.0,58.0,中国,15.5,5650.0,410,4,false,false,false,false,false
布鲁雅尔,450E,240,true,17.0,95.0,32.0,49.0,中国,15.5,6460.0,500,4,false,false,false,false,false
布鲁雅尔,503;510B,375,true,16.0,90.0,32.0,60.0,中国,16.0,6305.0,735,4,false,false,true,false,false
布鲁雅尔,550E,663,false,23.0,95.0,32.0,60.0,中国,16.0,7980.0,765,"",true,true,true,false,false
布鲁雅尔,603,400,true,16.0,90.0,32.0,65.0,瑞典,16.0,11980.0,830,4,false,false,true,false,false
布鲁雅尔,SENSE,170,false,4.0,30.0,29.0,50.0,中国,10.0,4212.0,200,3,false,true,true,false,true
席爱尔,AC-2041,145,false,"",72.0,"","",台湾,3.3,498.0,"",3,false,false,false,false,true
席爱尔,AC-2043,371,false,48.0,108.0,"","",台湾,7.1,2334.0,"",3,false,false,true,false,true
席爱尔,AC-2061,249,false,45.0,56.0,"","","",4.8,869.0,"",3,false,false,true,false,true
席爱尔,AC-2071,28,false,"",17.0,"","",中国,1.5,265.4,"",3,false,false,false,false,false
席爱尔,AC-2103,"","",22.0,52.0,"","",台湾,3.8,560.0,"",3,false,false,true,true,true
席爱尔,AC-2104,"","",39.0,61.0,"","",台湾,5.4,1020.0,"",3,false,false,true,true,true
席爱尔,AC-2105,"","",43.0,88.0,"","",台湾,8.1,3280.0,"",3,true,"",true,true,true
席爱尔,AC-2106,"","","",77.0,"","",台湾,8.0,3280.0,"","",true,"",true,true,true
德龙,AC100,"","","",50.0,33.0,39.0,中国,6.7,1880.0,"",3,true,false,false,true,true
德龙,AC150,"","","",52.2,33.0,40.0,中国,7.1,2299.0,"",3,true,false,false,true,true
德龙,AC230,"","","",80.0,36.0,43.0,中国,8.6,"","",3,false,false,true,true,true
德龙,AC75,"","","",31.0,30.0,35.0,中国,4.4,1280.0,"",3,true,false,false,true,false
惠而浦,WA-2001FK,200,false,"",42.0,"","",中国,6.0,"","",3,true,"",true,false,true
惠而浦,WA-2002FK,200,false,"",50.0,"","",中国,6.0,"","",3,true,"",true,false,true
惠而浦,WA-4001FK,200,false,"","","","","",6.0,"","",3,"","","","",""
松下,F-05C3VX,35,false,4.8,7.5,"",17.5,中国,2.3,768.0,"",2,false,false,false,true,false
松下,F-30C3PD,163,false,13.0,70.0,"",19.6,中国,4.1,595.0,"",3,true,false,false,true,true
